NN, 000
H , 001
HE, 002
LI, 003
BE, 004
B , 005
C , 006
N , 007
O , 008
F , 009
NE, 010
NA, 011
MG, 012
AL, 013
SI, 014
P , 015
S , 016
CL, 017
AR, 018
K , 019
CA, 020
SC, 021
TI, 022
V , 023
CR, 024
MN, 025
FE, 026
CO, 027
NI, 028
CU, 029
ZN, 030
GA, 031
GE, 032
AS, 033
SE, 034
BR, 035
KR, 036
RB, 037
SR, 038
Y , 039
ZR, 040
NB, 041
MO, 042
TC, 043
RU, 044
RH, 045
PD, 046
AG, 047
CD, 048
IN, 049
SN, 050
SB, 051
TE, 052
I , 053
XE, 054
CS, 055
BA, 056
LA, 057
CE, 058
PR, 059
ND, 060
PM, 061
SM, 062
EU, 063
GD, 064
TB, 065
DY, 066
HO, 067
ER, 068
TM, 069
YB, 070
LU, 071
HF, 072
TA, 073
W , 074
RE, 075
OS, 076
IR, 077
PT, 078
AU, 079
HG, 080
TL, 081
PB, 082
BI, 083
PO, 084
AT, 085
RN, 086
FR, 087
RA, 088
AC, 089
TH, 090
PA, 091
U , 092
NP, 093
PU, 094
AM, 095
CM, 096
BK, 097
CF, 098
ES, 099
FM, 100
MD, 101
NO, 102
LR, 103
RF, 104
DB, 105
SG, 106
BH, 107
HS, 108
MT, 109
DS, 110
RG, 111
CN, 112
13, 113
FL, 114
14, 114
15, 115
16, 116
17, 117
18, 118
19, 119
20, 120
